ID,目次,校区名,date,戦没地,名寄せ
1,福岡県大牟田市,大牟田,1945-05-01,フィリピンルソン島,フィリピン方面
2,福岡県大牟田市,大牟田,1942-04-25,ビルマ,ビルマ方面
3,福岡県大牟田市,大牟田,1945-06-09,陸軍病院,その他国内
4,福岡県大牟田市,大牟田,1945-02-23,フィリピン,フィリピン方面
5,福岡県大牟田市,大牟田,1944-03-02,ビルマ,ビルマ方面
6,福岡県大牟田市,大牟田,1944-11-21,レイテ島,フィリピン方面
7,福岡県大牟田市,大牟田,1944-09-14,ビルマ,ビルマ方面
8,福岡県大牟田市,大牟田,1944-10-18,フィリピン,フィリピン方面
9,福岡県大牟田市,大牟田,1945-06-03,フィリピンレイテ島,フィリピン方面
10,福岡県大牟田市,大牟田,1944-05-27,ビルマ,ビルマ方面
11,福岡県大牟田市,大牟田,1944-09-21,ルソン島,フィリピン方面
12,福岡県大牟田市,大牟田,1944-10-21,フィリピン,フィリピン方面
14,福岡県大牟田市,大牟田,1945-08-15,ルソン島,フィリピン方面
15,福岡県大牟田市,大牟田,1944-06-16,ビルマ,ビルマ方面
16,福岡県大牟田市,大牟田,1945-06-15,沖縄,沖縄
17,福岡県大牟田市,大牟田,1944-03-08,ビルマ,ビルマ方面
18,福岡県大牟田市,大牟田,1945-04-09,ビルマ,ビルマ方面
19,福岡県大牟田市,大牟田,1945-11-06,内地,その他国内
20,福岡県大牟田市,大牟田,1944-09-10,ビルマ,ビルマ方面
21,福岡県大牟田市,大牟田,1945-06-30,レイテ島,フィリピン方面
22,福岡県大牟田市,大牟田,1943-05-04,中国,中国
24,福岡県大牟田市,大牟田,1944-07-10,ニューギニア,ニューギニア方面
25,福岡県大牟田市,大牟田,1945-10-01,ニューギニア,ニューギニア方面
26,福岡県大牟田市,大牟田,1945-08-30,中国中支,中国
27,福岡県大牟田市,大牟田,1944-05-15,ビルマ,ビルマ方面
29,福岡県大牟田市,大牟田,1944-08-18,中国,中国
30,福岡県大牟田市,大牟田,1944-09-14,中国,中国
31,福岡県大牟田市,大牟田,1945-03-13,南支那海,南シナ海
32,福岡県大牟田市,大牟田,1945-05-01,ビルマ,ビルマ方面
33,福岡県大牟田市,大牟田,1944-05-18,ビルマ,ビルマ方面
34,福岡県大牟田市,大牟田,1944-12-02,中国中支,中国
35,福岡県大牟田市,大牟田,1945-03-13,フィリピンルソン島,フィリピン方面
36,福岡県大牟田市,大牟田,1945-12-24,スウーバトル,ソ連
38,福岡県大牟田市,大牟田,1944-03-20,ビルマ,ビルマ方面
39,福岡県大牟田市,大牟田,1945-09-19,済洲島,朝鮮
40,福岡県大牟田市,大牟田,1945-08-03,ビルマ,ビルマ方面
41,福岡県大牟田市,大牟田,1944-03-23,メイクテーラー,ビルマ方面
42,福岡県大牟田市,大牟田A,1944-11-10,フィリピン,フィリピン方面
44,福岡県大牟田市,大牟田A,1944-10-18,フィリピン,フィリピン方面
45,福岡県大牟田市,大牟田A,1946-05-31,ソ連,ソ連
46,福岡県大牟田市,大牟田A,1945-03-20,ビルマ,ビルマ方面
47,福岡県大牟田市,大牟田A,1939-11-08,久留米陸軍病院,福岡県内
48,福岡県大牟田市,大牟田A,1944-09-14,ビルマ,ビルマ方面
49,福岡県大牟田市,大牟田A,1944-03-31,内南洋,ミクロネシア
50,福岡県大牟田市,大牟田A,1941-12-28,マレー半島,マレー半島方面
